Product Name,Category,Material,Year,Month,Day,Total Emissions (kgCO2e)
Tank Top,T-shirt,Cotton,2020,9,10,68.4
Tracksuit Pants,Pants,Polyester,2023,10,28,403.2
Light Jacket,Jacket,Polyester,2022,3,16,694.2
Formal Shirt,Shirt,Cotton,2024,10,14,54.6
Knitted Sweater,Sweater,Wool,2020,11,1,474.0
Printed T-shirt,T-shirt,Organic Cotton,2023,12,9,41.8
Running Shoes,Shoes,Synthetic,2022,12,2,513.0
Zip Hoodie,Sweatshirt,Cotton,2024,3,2,166.5
Formal Shirt,Shirt,Cotton,2024,11,14,319.8
Zip Hoodie,Sweatshirt,Cotton,2024,7,17,126.0
Shorts,Shorts,Denim,2024,6,3,154.0
Formal Shirt,Shirt,Cotton,2024,10,29,54.6
Winter Coat,Jacket,Wool,2020,1,18,928.2
Slim Fit Jeans,Jeans,Denim,2021,7,1,455.0
Tank Top,T-shirt,Cotton,2023,7,4,70.2
Light Jacket,Jacket,Polyester,2024,4,5,267.0
Running Shoes,Shoes,Synthetic,2022,11,6,332.5
Chino Pants,Pants,Cotton,2023,12,17,249.1
Cargo Pants,Pants,Cotton,2020,10,30,168.3
Raincoat,Jacket,Polyester,2021,2,3,532.8
Shorts,Shorts,Denim,2023,7,14,28.0
Shorts,Shorts,Denim,2022,12,27,231.0
Raincoat,Jacket,Polyester,2020,10,31,259.0
Formal Shirt,Shirt,Cotton,2021,7,27,351.0
Running Shoes,Shoes,Synthetic,2021,9,18,598.5
Formal Shirt,Shirt,Cotton,2021,3,15,187.2
Formal Shirt,Shirt,Cotton,2023,5,11,120.9
Denim Jacket,Jacket,Denim,2021,11,24,608.4
Denim Jacket,Jacket,Denim,2024,4,3,741.0
Slip-On Sneakers,Shoes,Canvas,2024,12,7,507.3
Zip Hoodie,Sweatshirt,Cotton,2022,7,12,90.0
Tracksuit Pants,Pants,Polyester,2020,4,29,264.6
Cargo Pants,Pants,Cotton,2022,12,18,423.3
Printed T-shirt,T-shirt,Organic Cotton,2024,4,8,77.9
Formal Shirt,Shirt,Cotton,2023,6,28,241.8
Light Jacket,Jacket,Polyester,2021,11,6,151.3
Cargo Pants,Pants,Cotton,2024,12,22,459.0
Chino Pants,Pants,Cotton,2021,6,9,56.4
Zip Hoodie,Sweatshirt,Cotton,2023,7,25,405.0
Slip-On Sneakers,Shoes,Canvas,2020,4,12,131.1
Light Jacket,Jacket,Polyester,2023,11,3,258.1
Printed T-shirt,T-shirt,Organic Cotton,2023,2,27,123.5
Leather Boots,Shoes,Leather,2023,3,8,605.0
Basic T-shirt,T-shirt,Cotton,2021,11,2,210.0
Leather Boots,Shoes,Leather,2020,2,11,869.0
Oversized Hoodie,Sweatshirt,Cotton,2021,3,27,403.2
Running Shoes,Shoes,Synthetic,2021,4,4,836.0
Summer Dress,Dress,Linen,2023,7,5,115.5
Tracksuit Pants,Pants,Polyester,2023,5,16,308.7
Light Jacket,Jacket,Polyester,2020,2,17,382.7
Cargo Pants,Pants,Cotton,2021,12,11,76.5
Cargo Pants,Pants,Cotton,2021,5,28,448.8
Slim Fit Jeans,Jeans,Denim,2023,3,21,292.5
Oversized Hoodie,Sweatshirt,Cotton,2020,6,7,390.6
Leather Boots,Shoes,Leather,2020,7,30,451.0
Running Shoes,Shoes,Synthetic,2021,5,24,646.0
Winter Coat,Jacket,Wool,2020,4,11,40.8
Cargo Pants,Pants,Cotton,2020,6,9,265.2
Chino Pants,Pants,Cotton,2022,1,31,61.1
Summer Dress,Dress,Linen,2023,10,23,118.8
Tracksuit Pants,Pants,Polyester,2020,1,17,264.6
Winter Coat,Jacket,Wool,2020,8,17,846.6
Cargo Pants,Pants,Cotton,2024,1,23,397.8
Running Shoes,Shoes,Synthetic,2024,11,17,494.0
Slip-On Sneakers,Shoes,Canvas,2020,7,5,456.0
Tracksuit Pants,Pants,Polyester,2024,1,25,384.3
Raincoat,Jacket,Polyester,2023,3,1,510.6
Leather Boots,Shoes,Leather,2022,3,17,319.0
Leather Boots,Shoes,Leather,2023,7,19,781.0
Slim Fit Jeans,Jeans,Denim,2020,9,29,500.5
Light Jacket,Jacket,Polyester,2022,11,7,204.7
Printed T-shirt,T-shirt,Organic Cotton,2021,5,7,106.4
Zip Hoodie,Sweatshirt,Cotton,2021,7,16,13.5
Zip Hoodie,Sweatshirt,Cotton,2021,5,27,157.5
Running Shoes,Shoes,Synthetic,2022,12,21,579.5
Knitted Sweater,Sweater,Wool,2020,9,15,546.0
Winter Coat,Jacket,Wool,2020,7,31,91.8
Zip Hoodie,Sweatshirt,Cotton,2023,9,2,211.5
Zip Hoodie,Sweatshirt,Cotton,2023,1,20,418.5
Slip-On Sneakers,Shoes,Canvas,2022,11,5,22.8
Leather Boots,Shoes,Leather,2023,6,21,638.0
Cargo Pants,Pants,Cotton,2023,10,29,102.0
Slip-On Sneakers,Shoes,Canvas,2020,6,1,108.3
Printed T-shirt,T-shirt,Organic Cotton,2023,10,17,117.8
Summer Dress,Dress,Linen,2024,9,19,155.1
Leather Boots,Shoes,Leather,2024,12,24,231.0
Knitted Sweater,Sweater,Wool,2020,11,14,342.0
Light Jacket,Jacket,Polyester,2022,4,10,685.3
Running Shoes,Shoes,Synthetic,2020,10,24,361.0
Shorts,Shorts,Denim,2023,9,27,7.0
Basic T-shirt,T-shirt,Cotton,2023,1,5,174.3
Knitted Sweater,Sweater,Wool,2020,9,28,576.0
Light Jacket,Jacket,Polyester,2023,2,24,525.1
Raincoat,Jacket,Polyester,2020,3,3,569.8
Raincoat,Jacket,Polyester,2023,10,23,266.4
Raincoat,Jacket,Polyester,2022,1,28,384.8
Tank Top,T-shirt,Cotton,2023,5,25,12.6
Formal Shirt,Shirt,Cotton,2020,7,22,390.0
Basic T-shirt,T-shirt,Cotton,2020,3,17,12.6
Light Jacket,Jacket,Polyester,2024,8,30,676.4
Tracksuit Pants,Pants,Polyester,2020,10,12,415.8
Winter Coat,Jacket,Wool,2024,4,12,724.2
Slip-On Sneakers,Shoes,Canvas,2021,7,8,478.8
Formal Shirt,Shirt,Cotton,2021,12,30,351.0
Shorts,Shorts,Denim,2021,5,17,108.5
Zip Hoodie,Sweatshirt,Cotton,2020,8,4,207.0
Denim Jacket,Jacket,Denim,2024,11,20,117.0
Slim Fit Jeans,Jeans,Denim,2024,5,9,591.5
Raincoat,Jacket,Polyester,2021,10,4,695.6
Running Shoes,Shoes,Synthetic,2021,12,10,807.5
Slim Fit Jeans,Jeans,Denim,2023,7,5,513.5
Raincoat,Jacket,Polyester,2022,6,9,362.6
Leather Boots,Shoes,Leather,2022,1,4,1067.0
Summer Dress,Dress,Linen,2024,7,29,188.1
Chino Pants,Pants,Cotton,2024,6,22,385.4
Tracksuit Pants,Pants,Polyester,2023,6,2,119.7
Summer Dress,Dress,Linen,2020,4,24,287.1
Tracksuit Pants,Pants,Polyester,2020,8,20,144.9
Formal Shirt,Shirt,Cotton,2023,1,17,171.6
Light Jacket,Jacket,Polyester,2024,3,31,667.5
Formal Shirt,Shirt,Cotton,2020,2,14,105.3
Denim Jacket,Jacket,Denim,2022,2,23,397.8
Chino Pants,Pants,Cotton,2024,1,7,61.1
Summer Dress,Dress,Linen,2021,5,23,141.9
Chino Pants,Pants,Cotton,2023,9,6,408.9
Formal Shirt,Shirt,Cotton,2022,8,2,187.2
Printed T-shirt,T-shirt,Organic Cotton,2022,10,5,106.4
Knitted Sweater,Sweater,Wool,2022,6,21,420.0
Slip-On Sneakers,Shoes,Canvas,2020,9,3,359.1
Cargo Pants,Pants,Cotton,2021,6,29,102.0
Knitted Sweater,Sweater,Wool,2020,1,25,324.0
Basic T-shirt,T-shirt,Cotton,2020,8,11,176.4
Denim Jacket,Jacket,Denim,2020,6,1,460.2
Knitted Sweater,Sweater,Wool,2024,4,17,516.0
Leather Boots,Shoes,Leather,2022,10,25,220.0
Tracksuit Pants,Pants,Polyester,2020,11,11,88.2
Basic T-shirt,T-shirt,Cotton,2021,6,5,126.0
Chino Pants,Pants,Cotton,2022,3,23,324.3
Knitted Sweater,Sweater,Wool,2023,11,25,6.0
Chino Pants,Pants,Cotton,2023,1,19,258.5
Denim Jacket,Jacket,Denim,2020,11,21,343.2
Chino Pants,Pants,Cotton,2023,9,18,47.0
Zip Hoodie,Sweatshirt,Cotton,2024,5,6,324.0
Denim Jacket,Jacket,Denim,2020,11,25,382.2
Basic T-shirt,T-shirt,Cotton,2023,4,13,138.6
Raincoat,Jacket,Polyester,2021,3,20,229.4
Slim Fit Jeans,Jeans,Denim,2024,6,14,435.5
Printed T-shirt,T-shirt,Organic Cotton,2024,1,24,171.0
Shorts,Shorts,Denim,2022,10,29,294.0
Oversized Hoodie,Sweatshirt,Cotton,2023,1,4,134.4
Tank Top,T-shirt,Cotton,2022,3,26,28.8
Slim Fit Jeans,Jeans,Denim,2023,3,7,325.0
Zip Hoodie,Sweatshirt,Cotton,2020,7,2,58.5
Formal Shirt,Shirt,Cotton,2023,8,6,23.4
Chino Pants,Pants,Cotton,2022,11,27,470.0
Basic T-shirt,T-shirt,Cotton,2020,1,25,84.0
Running Shoes,Shoes,Synthetic,2022,8,13,883.5
Denim Jacket,Jacket,Denim,2022,5,1,600.6
Zip Hoodie,Sweatshirt,Cotton,2020,9,29,409.5
Summer Dress,Dress,Linen,2024,8,20,326.7
Tank Top,T-shirt,Cotton,2022,12,31,117.0
Raincoat,Jacket,Polyester,2024,7,2,525.4
Knitted Sweater,Sweater,Wool,2020,12,9,540.0
Printed T-shirt,T-shirt,Organic Cotton,2022,3,7,121.6
Running Shoes,Shoes,Synthetic,2024,7,31,446.5
Running Shoes,Shoes,Synthetic,2020,11,6,693.5
Denim Jacket,Jacket,Denim,2021,7,26,780.0
Shorts,Shorts,Denim,2024,1,16,38.5
Winter Coat,Jacket,Wool,2024,2,6,448.8
Running Shoes,Shoes,Synthetic,2020,10,19,313.5
Winter Coat,Jacket,Wool,2021,5,31,510.0
Slip-On Sneakers,Shoes,Canvas,2021,7,25,342.0
Cargo Pants,Pants,Cotton,2020,1,28,86.7
Chino Pants,Pants,Cotton,2021,6,1,122.2
Slip-On Sneakers,Shoes,Canvas,2020,5,24,393.3
Printed T-shirt,T-shirt,Organic Cotton,2023,6,20,133.0
Chino Pants,Pants,Cotton,2022,5,29,347.8
Zip Hoodie,Sweatshirt,Cotton,2020,10,12,265.5
Printed T-shirt,T-shirt,Organic Cotton,2022,3,12,20.9
Oversized Hoodie,Sweatshirt,Cotton,2023,7,4,84.0
Slim Fit Jeans,Jeans,Denim,2024,5,29,26.0
Knitted Sweater,Sweater,Wool,2024,3,8,294.0
Cargo Pants,Pants,Cotton,2022,5,4,387.6
Cargo Pants,Pants,Cotton,2023,5,7,443.7
Zip Hoodie,Sweatshirt,Cotton,2023,1,7,45.0
Knitted Sweater,Sweater,Wool,2021,5,9,108.0
Printed T-shirt,T-shirt,Organic Cotton,2021,8,8,161.5
Knitted Sweater,Sweater,Wool,2024,1,12,276.0
Denim Jacket,Jacket,Denim,2024,3,14,226.2
Cargo Pants,Pants,Cotton,2021,9,1,229.5
Zip Hoodie,Sweatshirt,Cotton,2022,10,4,171.0
Tracksuit Pants,Pants,Polyester,2020,6,30,245.7
Tank Top,T-shirt,Cotton,2021,3,3,5.4
Shorts,Shorts,Denim,2021,8,17,266.0
Shorts,Shorts,Denim,2020,7,30,168.0
Tank Top,T-shirt,Cotton,2024,3,25,59.4
Slim Fit Jeans,Jeans,Denim,2023,6,20,45.5
Summer Dress,Dress,Linen,2024,8,23,69.3
Cargo Pants,Pants,Cotton,2024,7,21,413.1
Light Jacket,Jacket,Polyester,2024,8,10,133.5
Raincoat,Jacket,Polyester,2024,10,14,606.8
Chino Pants,Pants,Cotton,2023,4,16,451.2
Tracksuit Pants,Pants,Polyester,2021,3,1,409.5
Light Jacket,Jacket,Polyester,2022,3,23,809.9
Knitted Sweater,Sweater,Wool,2021,3,10,510.0
Cargo Pants,Pants,Cotton,2022,11,25,469.2
Running Shoes,Shoes,Synthetic,2023,3,30,883.5
Light Jacket,Jacket,Polyester,2020,1,8,231.4
Slip-On Sneakers,Shoes,Canvas,2024,4,12,279.3
Formal Shirt,Shirt,Cotton,2023,9,19,273.0
Chino Pants,Pants,Cotton,2023,6,10,164.5
Denim Jacket,Jacket,Denim,2020,3,18,670.8
Zip Hoodie,Sweatshirt,Cotton,2023,10,5,292.5
Raincoat,Jacket,Polyester,2021,4,22,266.4
Raincoat,Jacket,Polyester,2024,4,23,384.8
Formal Shirt,Shirt,Cotton,2021,7,11,50.7
Cargo Pants,Pants,Cotton,2023,10,2,122.4
Basic T-shirt,T-shirt,Cotton,2023,2,19,123.9
Slim Fit Jeans,Jeans,Denim,2024,3,23,409.5
Knitted Sweater,Sweater,Wool,2021,3,14,564.0
Summer Dress,Dress,Linen,2023,1,8,105.6
Oversized Hoodie,Sweatshirt,Cotton,2020,7,11,365.4
Slim Fit Jeans,Jeans,Denim,2024,3,8,357.5
Tank Top,T-shirt,Cotton,2024,9,3,45.0
Shorts,Shorts,Denim,2020,12,20,227.5
Tracksuit Pants,Pants,Polyester,2021,1,24,315.0
Winter Coat,Jacket,Wool,2022,12,4,265.2
Winter Coat,Jacket,Wool,2021,4,21,867.0
Slip-On Sneakers,Shoes,Canvas,2024,12,2,552.9
Oversized Hoodie,Sweatshirt,Cotton,2024,5,10,184.8
Tank Top,T-shirt,Cotton,2020,4,16,10.8
Shorts,Shorts,Denim,2024,9,4,80.5
Cargo Pants,Pants,Cotton,2024,12,30,188.7
Slim Fit Jeans,Jeans,Denim,2022,8,18,487.5
Oversized Hoodie,Sweatshirt,Cotton,2022,10,23,306.6
Oversized Hoodie,Sweatshirt,Cotton,2022,3,22,218.4
Tracksuit Pants,Pants,Polyester,2024,6,19,466.2
Leather Boots,Shoes,Leather,2023,8,16,561.0
Winter Coat,Jacket,Wool,2021,7,2,622.2
Zip Hoodie,Sweatshirt,Cotton,2020,4,10,279.0
Raincoat,Jacket,Polyester,2020,2,5,288.6
Summer Dress,Dress,Linen,2023,4,20,66.0
Slip-On Sneakers,Shoes,Canvas,2023,5,5,410.4
Running Shoes,Shoes,Synthetic,2024,10,8,85.5
Shorts,Shorts,Denim,2024,11,6,350.0
Raincoat,Jacket,Polyester,2022,1,9,377.4
Basic T-shirt,T-shirt,Cotton,2022,11,30,155.4
Light Jacket,Jacket,Polyester,2023,4,6,44.5
Tracksuit Pants,Pants,Polyester,2023,3,21,12.6
Summer Dress,Dress,Linen,2020,7,25,145.2
Zip Hoodie,Sweatshirt,Cotton,2022,1,24,22.5
Winter Coat,Jacket,Wool,2023,7,29,765.0
Formal Shirt,Shirt,Cotton,2020,5,31,319.8
Zip Hoodie,Sweatshirt,Cotton,2020,6,20,261.0
Tracksuit Pants,Pants,Polyester,2021,11,16,441.0
Denim Jacket,Jacket,Denim,2020,1,7,327.6
Printed T-shirt,T-shirt,Organic Cotton,2022,1,9,36.1
Cargo Pants,Pants,Cotton,2023,4,3,387.6
Knitted Sweater,Sweater,Wool,2020,8,8,246.0
Tracksuit Pants,Pants,Polyester,2024,11,10,340.2
Winter Coat,Jacket,Wool,2024,8,9,448.8
Running Shoes,Shoes,Synthetic,2024,10,10,741.0
Slim Fit Jeans,Jeans,Denim,2022,1,24,598.0
Chino Pants,Pants,Cotton,2020,5,9,159.8
Knitted Sweater,Sweater,Wool,2024,3,25,426.0
Slip-On Sneakers,Shoes,Canvas,2021,8,4,456.0
Oversized Hoodie,Sweatshirt,Cotton,2020,6,19,382.2
Running Shoes,Shoes,Synthetic,2020,12,14,503.5
Cargo Pants,Pants,Cotton,2020,6,19,188.7
Running Shoes,Shoes,Synthetic,2023,2,2,294.5
Light Jacket,Jacket,Polyester,2021,3,7,320.4
Formal Shirt,Shirt,Cotton,2024,1,18,27.3
Tracksuit Pants,Pants,Polyester,2024,2,19,245.7
Printed T-shirt,T-shirt,Organic Cotton,2024,5,31,133.0
Zip Hoodie,Sweatshirt,Cotton,2020,6,2,184.5
Leather Boots,Shoes,Leather,2021,11,26,737.0
Slim Fit Jeans,Jeans,Denim,2020,9,29,370.5
Winter Coat,Jacket,Wool,2024,7,25,979.2
Basic T-shirt,T-shirt,Cotton,2020,3,17,86.1
Denim Jacket,Jacket,Denim,2022,5,5,561.6
Slip-On Sneakers,Shoes,Canvas,2020,3,24,513.0
Tracksuit Pants,Pants,Polyester,2023,9,21,346.5
Printed T-shirt,T-shirt,Organic Cotton,2021,1,12,57.0
Slip-On Sneakers,Shoes,Canvas,2020,8,23,96.9
Tracksuit Pants,Pants,Polyester,2023,4,16,100.8
Running Shoes,Shoes,Synthetic,2024,1,17,560.5
Slim Fit Jeans,Jeans,Denim,2021,2,6,305.5
Summer Dress,Dress,Linen,2022,7,23,260.7
Winter Coat,Jacket,Wool,2024,1,21,295.8
Basic T-shirt,T-shirt,Cotton,2023,7,25,4.2
Slim Fit Jeans,Jeans,Denim,2022,9,27,143.0
Zip Hoodie,Sweatshirt,Cotton,2021,6,2,27.0
Chino Pants,Pants,Cotton,2020,1,19,460.6
Oversized Hoodie,Sweatshirt,Cotton,2024,12,22,285.6
Denim Jacket,Jacket,Denim,2024,7,31,39.0
Printed T-shirt,T-shirt,Organic Cotton,2022,12,17,51.3
Leather Boots,Shoes,Leather,2022,6,26,352.0
Tracksuit Pants,Pants,Polyester,2022,10,1,302.4
Knitted Sweater,Sweater,Wool,2021,10,27,504.0
Printed T-shirt,T-shirt,Organic Cotton,2020,5,30,146.3
Printed T-shirt,T-shirt,Organic Cotton,2021,1,6,167.2
Leather Boots,Shoes,Leather,2023,6,30,825.0
Shorts,Shorts,Denim,2022,5,22,213.5
Basic T-shirt,T-shirt,Cotton,2022,1,14,132.3
Light Jacket,Jacket,Polyester,2020,2,12,756.5
Slip-On Sneakers,Shoes,Canvas,2023,7,5,490.2
Raincoat,Jacket,Polyester,2023,6,23,673.4
Summer Dress,Dress,Linen,2023,4,7,145.2
Raincoat,Jacket,Polyester,2020,5,31,185.0
Tracksuit Pants,Pants,Polyester,2023,12,7,403.2
Shorts,Shorts,Denim,2024,9,20,255.5
Zip Hoodie,Sweatshirt,Cotton,2023,9,14,292.5
Formal Shirt,Shirt,Cotton,2024,10,17,300.3
Slip-On Sneakers,Shoes,Canvas,2023,10,25,564.3
Shorts,Shorts,Denim,2022,7,10,213.5
Running Shoes,Shoes,Synthetic,2020,12,4,826.5
Tracksuit Pants,Pants,Polyester,2024,8,5,245.7
Knitted Sweater,Sweater,Wool,2023,2,27,468.0
Running Shoes,Shoes,Synthetic,2023,1,10,313.5
Basic T-shirt,T-shirt,Cotton,2021,9,27,163.8
Slim Fit Jeans,Jeans,Denim,2024,3,31,383.5
Winter Coat,Jacket,Wool,2022,7,26,306.0
Tank Top,T-shirt,Cotton,2022,11,6,48.6
Formal Shirt,Shirt,Cotton,2023,12,3,167.7
Cargo Pants,Pants,Cotton,2023,11,26,255.0
Raincoat,Jacket,Polyester,2024,11,1,51.8
Light Jacket,Jacket,Polyester,2023,8,7,409.4
Basic T-shirt,T-shirt,Cotton,2024,11,19,69.3
Zip Hoodie,Sweatshirt,Cotton,2024,3,18,427.5
Leather Boots,Shoes,Leather,2020,4,20,539.0
Summer Dress,Dress,Linen,2020,1,31,145.2
Slip-On Sneakers,Shoes,Canvas,2021,9,24,39.9
Oversized Hoodie,Sweatshirt,Cotton,2021,3,3,180.6
Oversized Hoodie,Sweatshirt,Cotton,2020,9,2,71.4
Leather Boots,Shoes,Leather,2024,5,18,583.0
Summer Dress,Dress,Linen,2023,5,29,99.0
Denim Jacket,Jacket,Denim,2020,2,25,756.6
Tracksuit Pants,Pants,Polyester,2024,4,18,604.8
Winter Coat,Jacket,Wool,2023,3,21,397.8
Knitted Sweater,Sweater,Wool,2021,8,24,324.0
Tank Top,T-shirt,Cotton,2022,12,14,18.0
Raincoat,Jacket,Polyester,2021,2,11,222.0
Slim Fit Jeans,Jeans,Denim,2023,5,29,520.0
Chino Pants,Pants,Cotton,2021,5,8,150.4
Knitted Sweater,Sweater,Wool,2023,12,31,294.0
Shorts,Shorts,Denim,2021,3,6,70.0
Leather Boots,Shoes,Leather,2024,1,14,1056.0
Winter Coat,Jacket,Wool,2024,1,12,10.2
Leather Boots,Shoes,Leather,2023,12,30,627.0
Denim Jacket,Jacket,Denim,2022,10,16,678.6
Basic T-shirt,T-shirt,Cotton,2020,10,26,100.8
Zip Hoodie,Sweatshirt,Cotton,2022,6,13,198.0
Tracksuit Pants,Pants,Polyester,2024,11,25,396.9
Shorts,Shorts,Denim,2021,10,12,52.5
Leather Boots,Shoes,Leather,2023,4,10,781.0
Running Shoes,Shoes,Synthetic,2023,9,19,522.5
Leather Boots,Shoes,Leather,2020,1,24,1067.0
Formal Shirt,Shirt,Cotton,2020,6,26,58.5
Chino Pants,Pants,Cotton,2022,10,23,366.6
Running Shoes,Shoes,Synthetic,2024,3,11,532.0
Chino Pants,Pants,Cotton,2022,2,2,32.9
Shorts,Shorts,Denim,2020,7,28,231.0
Tracksuit Pants,Pants,Polyester,2022,11,19,132.3
Leather Boots,Shoes,Leather,2020,9,22,77.0
Oversized Hoodie,Sweatshirt,Cotton,2024,12,16,117.6
Slim Fit Jeans,Jeans,Denim,2020,1,7,357.5
Basic T-shirt,T-shirt,Cotton,2024,2,7,18.9
Basic T-shirt,T-shirt,Cotton,2020,4,22,10.5
Summer Dress,Dress,Linen,2023,1,6,141.9
Basic T-shirt,T-shirt,Cotton,2024,5,26,165.9
Zip Hoodie,Sweatshirt,Cotton,2020,1,19,126.0
Printed T-shirt,T-shirt,Organic Cotton,2022,8,18,66.5
Slip-On Sneakers,Shoes,Canvas,2021,8,27,404.7
Running Shoes,Shoes,Synthetic,2022,12,4,285.0
Printed T-shirt,T-shirt,Organic Cotton,2021,1,9,96.9
Slim Fit Jeans,Jeans,Denim,2024,12,21,201.5
Tank Top,T-shirt,Cotton,2023,2,11,9.0
Summer Dress,Dress,Linen,2021,11,9,174.9
Basic T-shirt,T-shirt,Cotton,2020,9,2,153.3
Tracksuit Pants,Pants,Polyester,2021,1,13,516.6
Denim Jacket,Jacket,Denim,2020,7,10,218.4
Denim Jacket,Jacket,Denim,2021,4,5,304.2
Light Jacket,Jacket,Polyester,2024,7,8,71.2
Summer Dress,Dress,Linen,2024,6,15,306.9
Oversized Hoodie,Sweatshirt,Cotton,2020,10,26,239.4
Chino Pants,Pants,Cotton,2020,11,3,28.2
Leather Boots,Shoes,Leather,2024,3,11,495.0
Slip-On Sneakers,Shoes,Canvas,2020,4,29,68.4
Printed T-shirt,T-shirt,Organic Cotton,2022,6,25,57.0
Denim Jacket,Jacket,Denim,2023,9,23,124.8
Printed T-shirt,T-shirt,Organic Cotton,2020,4,27,13.3
Light Jacket,Jacket,Polyester,2024,3,8,106.8
Chino Pants,Pants,Cotton,2024,5,29,173.9
Running Shoes,Shoes,Synthetic,2024,1,2,646.0
Chino Pants,Pants,Cotton,2022,5,15,437.1
Running Shoes,Shoes,Synthetic,2020,3,7,931.0
Summer Dress,Dress,Linen,2021,2,2,148.5
Tank Top,T-shirt,Cotton,2022,1,1,176.4
Shorts,Shorts,Denim,2024,11,25,171.5
Knitted Sweater,Sweater,Wool,2024,11,5,72.0
Chino Pants,Pants,Cotton,2022,5,22,296.1
Summer Dress,Dress,Linen,2024,12,1,75.9
Light Jacket,Jacket,Polyester,2023,5,23,275.9
Raincoat,Jacket,Polyester,2020,5,28,266.4
Leather Boots,Shoes,Leather,2022,12,26,473.0
Winter Coat,Jacket,Wool,2024,3,25,540.6
Winter Coat,Jacket,Wool,2022,7,23,469.2
Knitted Sweater,Sweater,Wool,2021,10,8,366.0
Basic T-shirt,T-shirt,Cotton,2022,11,13,100.8
Leather Boots,Shoes,Leather,2020,9,17,242.0
Slip-On Sneakers,Shoes,Canvas,2021,9,10,96.9
Zip Hoodie,Sweatshirt,Cotton,2024,11,20,414.0
Cargo Pants,Pants,Cotton,2024,1,28,112.2
Cargo Pants,Pants,Cotton,2022,7,26,91.8
Oversized Hoodie,Sweatshirt,Cotton,2020,11,25,331.8
Chino Pants,Pants,Cotton,2021,6,3,216.2
Summer Dress,Dress,Linen,2023,8,14,72.6
Formal Shirt,Shirt,Cotton,2021,7,21,156.0
Raincoat,Jacket,Polyester,2020,6,7,148.0
Winter Coat,Jacket,Wool,2023,1,31,591.6
Cargo Pants,Pants,Cotton,2020,8,8,448.8
Oversized Hoodie,Sweatshirt,Cotton,2021,10,8,369.6
Formal Shirt,Shirt,Cotton,2021,1,17,269.1
Slim Fit Jeans,Jeans,Denim,2020,3,12,604.5
Winter Coat,Jacket,Wool,2021,1,27,969.0
Tracksuit Pants,Pants,Polyester,2022,1,19,289.8
Tracksuit Pants,Pants,Polyester,2024,10,23,510.3
Winter Coat,Jacket,Wool,2024,7,17,448.8
Light Jacket,Jacket,Polyester,2023,9,1,213.6
Slim Fit Jeans,Jeans,Denim,2022,2,7,227.5
Shorts,Shorts,Denim,2024,12,17,322.0
Printed T-shirt,T-shirt,Organic Cotton,2024,6,23,15.2
Leather Boots,Shoes,Leather,2021,5,20,462.0
Knitted Sweater,Sweater,Wool,2023,2,27,192.0
Slim Fit Jeans,Jeans,Denim,2022,1,6,195.0
Slip-On Sneakers,Shoes,Canvas,2021,8,18,5.7
Light Jacket,Jacket,Polyester,2021,2,4,160.2
Winter Coat,Jacket,Wool,2021,4,1,663.0
Running Shoes,Shoes,Synthetic,2024,12,28,180.5
Chino Pants,Pants,Cotton,2020,11,28,47.0
Slip-On Sneakers,Shoes,Canvas,2021,9,29,376.2
Zip Hoodie,Sweatshirt,Cotton,2022,11,8,346.5
Zip Hoodie,Sweatshirt,Cotton,2024,11,3,252.0
Tank Top,T-shirt,Cotton,2024,11,1,135.0
Formal Shirt,Shirt,Cotton,2022,11,14,93.6
Winter Coat,Jacket,Wool,2022,11,15,265.2
Oversized Hoodie,Sweatshirt,Cotton,2022,6,5,151.2
Chino Pants,Pants,Cotton,2021,2,24,460.6
Cargo Pants,Pants,Cotton,2020,10,18,504.9
Basic T-shirt,T-shirt,Cotton,2021,3,2,44.1
Winter Coat,Jacket,Wool,2022,9,21,244.8
Winter Coat,Jacket,Wool,2020,4,10,112.2
Chino Pants,Pants,Cotton,2023,6,2,408.9
Printed T-shirt,T-shirt,Organic Cotton,2023,11,26,22.8
Printed T-shirt,T-shirt,Organic Cotton,2022,6,22,148.2
Denim Jacket,Jacket,Denim,2021,12,2,577.2
Basic T-shirt,T-shirt,Cotton,2023,11,16,58.8
Formal Shirt,Shirt,Cotton,2021,10,9,276.9
Slim Fit Jeans,Jeans,Denim,2020,3,15,305.5
Zip Hoodie,Sweatshirt,Cotton,2022,10,20,202.5
Formal Shirt,Shirt,Cotton,2020,10,4,35.1
Summer Dress,Dress,Linen,2022,11,12,283.8
Slip-On Sneakers,Shoes,Canvas,2024,2,27,490.2
Shorts,Shorts,Denim,2021,9,30,143.5
Slip-On Sneakers,Shoes,Canvas,2024,12,28,68.4
Summer Dress,Dress,Linen,2022,9,11,178.2
Oversized Hoodie,Sweatshirt,Cotton,2024,10,8,142.8
Summer Dress,Dress,Linen,2020,5,8,9.9
Summer Dress,Dress,Linen,2021,1,4,95.7
Running Shoes,Shoes,Synthetic,2021,10,3,313.5
Leather Boots,Shoes,Leather,2024,11,15,693.0
Basic T-shirt,T-shirt,Cotton,2022,5,1,79.8
Leather Boots,Shoes,Leather,2020,11,28,77.0
Raincoat,Jacket,Polyester,2020,8,25,414.4
Printed T-shirt,T-shirt,Organic Cotton,2023,6,9,68.4
Slip-On Sneakers,Shoes,Canvas,2021,12,31,364.8
Leather Boots,Shoes,Leather,2023,3,25,858.0
Denim Jacket,Jacket,Denim,2021,6,8,327.6
